Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000247,Drug Violation,02/25/17 0115,02/25/17 0115,02/25/17 0115,60 Schilletter Village,Arrest
17-000248,Operating while Intoxicated,02/25/17 0213,02/25/17 0213,02/25/17 0213,203 Beedle Drive,Arrest
17-000249,Operating while Intoxicated,02/25/17 0241,02/25/17 0241,02/25/17 0241,203 Welch Avenue,Arrest
17-000250,Burglary,02/25/17 1005,NA,02/25/17 1005,100 block of Sheldon Avenue,Open
17-000252,Alcohol Violation,02/25/17 2240,02/25/17 2240,02/25/17 2240,Lincoln Way and Lynn Avenue,Arrest
17-000253,Public Intoxication,02/25/17 2317,02/25/17 2317,02/25/17 2317,119 Stanton Avenue,Arrest
17-000254,Public Intoxication,02/26/17 0041,02/26/17 0041,02/26/17 0041,Beyer Court and Union Drive,Arrest
17-000257,Theft,02/26/17 2141,NA,02/26/17 2141,81 Frederiksen Court,Closed
17-000261,Theft,02/27/17 0745,NA,02/27/17 0745,Animal Science Teaching Center,Open
17-000263,Drug Violation,02/27/17 0938,NA,NA,Armory Building,Open
17-000264,Harassment,02/27/17 1430,NA,02/27/17 1430,Hamilton Hall,Open
17-000267,Public Intoxication,02/28/17 1202,02/28/17 1202,02/28/17 1202,Scheman Building,Arrest
17-000270,Harassment,03/01/17 1650,NA,03/01/17 1650,Memorial Union,Open
17-000271,Vandalism,03/01/17 1704,NA,03/01/17 1704,200 University Village,Open
17-000272,Drug Violation,03/01/17 2051,03/01/17 2051,03/01/17 2051,Wilson Hall,Arrest
17-000273,Drug Violation,03/01/17 2254,03/01/17 2254,03/01/17 2254,Wallace Hall,Arrest
17-000274,Public Intoxication,03/02/17 0054,03/02/17 0054,03/02/17 0054,Bissell Road and Pammel Drive,Arrest
17-000275,Public Intoxication,03/02/17 0245,03/02/17 0245,03/02/17 0245,Lincoln Way and Welch Avenue,Arrest
17-000276,Theft,03/02/17 1025,03/02/17 1025,03/02/17 1025,Armory Building,Open
17-000277,Alcohol Violation,03/03/17 0033,03/03/17 0033,03/03/17 0033,Lot 91,Arrest
17-000278,Public Intoxication,03/03/17 0123,03/03/17 0123,03/03/17 0123,2519 Hunt Street,Arrest
