Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000415,Drug Violation,04/04/17 2320,04/04/17 2320,04/04/17 2320,Friley Hall,Arrest
17-000416,Operating while Intoxicated,04/05/17 0206,04/05/17 0206,04/05/17 0206,3915 Mortensen Road,Arrest
17-000419,Sexual Assault,04/05/17 1432,NA,04/05/17 1432,Thielen Student Health Center,Open
17-000418,Theft,04/05/17 1458,NA,04/05/17 1458,Lot S6,Open
17-000423,Assault,04/05/17 2212,04/05/17 2212,04/05/17 2212,24 Frederiksen Court,Open
17-000424,Operating while Intoxicated,04/06/17 0034,04/06/17 0034,04/06/17 0034,Ashmore Drive and Gaskill Drive,Arrest
17-000426,Public Intoxication,04/06/17 0132,04/06/17 0132,04/06/17 0132,Lincoln Way and State Avenue,Arrest
17-000425,Public Intoxication,04/06/17 0140,04/06/17 0140,04/06/17 0140,Mortensen Road and State Avenue,Arrest
17-000428,Theft,04/06/17 1423,NA,04/06/17 1423,2138 Veterinary Medicine,Open
17-000429,Public Intoxication,04/06/17 1613,04/06/17 1613,04/06/17 1613,State Gymnasium,Arrest
17-000430,Sexual Assault,04/06/17 1633,NA,04/06/17 1633,Helser Hall,Open
17-000431,Public Intoxication/Interference,04/07/17 0009,04/07/17 0009,04/07/17 0009,Lot 63,Arrest
17-000433,Drug Violation,04/07/17 1316,04/07/17 1316,04/07/17 1316,Armory Building,Open
17-000434,Harassment,04/07/17 1634,NA,04/07/17 1634,Armory Building,Open
17-000435,Theft,04/08/17 0126,NA,04/08/17 0126,11 Frederiksen Court,Open
17-000436,Public Intoxication / Drug Violation / Alcohol Violation,04/08/17 0216,04/08/17 0216,04/08/17 0216,119 Stanton Avenue,Arrest
17-000437,Vandalism,04/08/17 1854,NA,04/08/17 1854,Ames Intermodel Facility,Open
17-000438,Drug Violation/Alcohol Violation,04/08/17 2207,04/08/17 2207,04/08/17 2207,Scheman Building,Arrest
17-000439,Theft,04/08/17 2227,NA,04/08/17 2227,Lot 28,Open
17-000443,Theft,04/09/17 0140,NA,04/09/17 0140,Oak Hall,Open
17-000442,Disorderly Conduct,04/09/17 0145,04/09/17 0145,04/09/17 0145,119 Stanton Avenue,Open
17-000441,Assault,04/09/17 0200,04/09/17 0200,04/09/17 0200,Buchanan Hall,Arrest
17-000445,Vandalism,04/09/17 1342,NA,04/09/17 1342,Lot 61A,Open
17-000447,Harassment,04/10/17 0733,NA,04/10/17 0733,4008 Maricopa Drive,Open
17-000448,Drug Violation,04/10/17 0926,04/10/17 0926,04/10/17 0926,Armory Building,Arrest
17-000449,Theft,04/10/17 1302,NA,04/10/17 1302,Geoffroy Hall,Open
17-000450,Harassment,04/10/17 1406,NA,04/10/17 1406,Armory Building,Open
17-000451,Drug Violation,04/10/17 2037,NA,04/10/17 2037,Armory Building,Open
17-000452,Theft,04/10/17 2202,NA,04/10/17 2202,Lyon Hall,Open
17-000453,Vandalism,04/11/17 1104,NA,04/11/17 1104,Lot 85E,Open
17-000454,Theft,04/11/17 1317,NA,04/11/17 1317,Mackay Hall,Open
17-000455,Vandalism,04/11/17 2234,NA,04/11/17 2234,1344 Walton Drive,Open
17-000457,Drug Violation,04/12/17 1409,NA,04/12/17 1409,Armory Building,Open
17-000459,Operating while Intoxicated / Drug Violation,04/12/17 2138,04/12/17 2138,04/12/17 2138,Sheldon Avenue and West Street,Arrest
17-000460,Operating while Intoxicated,04/13/17 0105,04/13/17 0105,04/13/17 0105,Mortensen Road and State Avenue,Arrest
17-000461,Operating while Intoxicated,04/13/17 0207,04/13/17 0207,04/13/17 0207,Lincoln Way and Stanton Avenue,Arrest
17-000462,Drug Violation,04/13/17 1057,NA,04/13/17 1057,Armory Building,Open
17-000463,Theft,04/13/17 1258,NA,04/13/17 1258,Memorial Union,Open
17-000465,Driving Violation,04/14/17 0203,04/14/17 0203,04/14/17 0203,Bissell Road and Osborn Drive,Arrest
17-000466,Theft,04/14/17 1420,NA,04/14/17 1420,Lot S7,Open
17-000467,Theft,04/14/17 1502,NA,04/14/17 1502,Mackay Hall,Open
17-000468,Theft,04/14/17 1607,NA,04/14/17 1607,Willow Hall,Open
17-000469,Vandalism,04/14/17 1758,NA,04/14/17 1758,Parks Library,Open
17-000470,Theft,04/14/17 1943,NA,04/14/17 1943,Science II,Open
17-000471,Theft,04/14/17 2139,NA,04/14/17 2139,University Village Laundry,Open
17-000473,Operating while Intoxicated,04/15/17 0311,04/15/17 0311,04/15/17 0311,Mortensen Road and South Dakota Avenue,Arrest
17-000474,Theft,04/17/17 1412,NA,04/17/17 1412,Coover Hall,Open
17-000479,Harassment,04/18/17 0835,NA,04/18/17 0835,Ross Hall,Open
17-000482,Drug Violation,04/18/17 2138,NA,04/18/17 2138,Armory Building,Open
17-000483,Vandalism,04/19/17 1227,NA,04/19/17 1227,60 Schilletter Village,Open
17-000485,Criminal Trespass,04/20/17 0840,04/20/17 0840,04/20/17 0840,Forker Building,Arrest
17-000487,Drug Violation,04/20/17 2038,04/20/17 2038,04/20/17 2038,Maple Hall,Arrest
17-000488,Operating while Intoxicated,04/21/17 0123,04/21/17 0123,04/21/17 0123,South 16th Street and South Grand Avenue,Arrest
17-000489,Drug Violation,04/21/17 0353,04/21/17 0353,04/21/17 0353,3800 Lincoln Way,Arrest
17-000491,Vandalism,04/21/17 0730,NA,04/21/17 0730,Lot 62,Open
17-000492,Drug Violation,04/21/17 1224,04/21/17 1224,04/21/17 1224,135 Wilmoth Avenue,Open
17-000493,Vandalism,04/21/17 1231,NA,04/21/17 1231,Lot 112L,Open
17-000496,Operating while Intoxicated,04/22/17 0136,04/22/17 0136,04/22/17 0136,Lincoln Way and State Avenue,Arrest
17-000497,Operating while Intoxicated,04/22/17 0200,04/22/17 0200,04/22/17 0200,100 block of Beedle Drive,Arrest
17-000499,Vandalism,04/22/17 0931,NA,04/22/17 0931,Maple Hall,Open
17-000500,Burglary,04/22/17 1209,NA,04/22/17 1209,Lot 112C,Open
17-000502,Public Intoxication,04/23/17 0104,04/23/17 0104,04/23/17 0104,Memorial Union Parking Ramp,Arrest
17-000503,Operating while Intoxicated,04/23/17 0130,04/23/17 0130,04/23/17 0130,North University Boulevard and Wallace Road,Arrest
17-000508,Drug Violation,04/24/17 0021,04/24/17 0021,04/24/17 0021,13th Street and Hyland Avenue,Arrest
17-000509,Harassment,04/24/17 0831,NA,04/24/17 0831,2420 Lincoln Way,Open
17-000512,Harassment,04/24/17 0936,NA,04/24/17 0936,Willow Hall,Open
17-000510,Vandalism,04/24/17 1000,NA,04/24/17 1000,Lot 61H,Open
17-000511,Theft,04/24/17 1036,NA,04/24/17 1036,Friley Hall,Open
17-000515,Drug Violation,04/24/17 1858,04/24/17 1858,04/24/17 1858,1332 Walton Drive,Arrest
17-000516,Drug Violation,04/24/17 2307,04/24/17 2307,04/24/17 2307,Wilson Hall,Arrest
17-000518,Driving Violation / Harassment,04/25/17 2004,04/25/17 2004,04/25/17 2004,Lot 89,Arrest
17-000519,Drug Violation,04/26/17 0116,04/26/17 0116,04/26/17 0116,Armory Building,Open
17-000520,Theft,04/26/17 0837,NA,04/26/17 0837,Geoffroy Hall,Open
17-000522,Drug Violation,04/26/17 1107,04/26/17 1107,04/26/17 1107,Armory Building,Open
17-000524,Public Intoxication,04/27/17 0028,04/27/16 0028,04/27/17 0028,Chamberlain Street and Welch Avenue,Arrest
17-000526,Driving Violation,04/27/17 0927,04/27/17 0927,04/27/17 0927,Northridge Parkway and stange Road,Arrest
17-000527,Theft,04/27/17 1402,NA,04/27/17 1402,Willow Hall,Open
17-000529,Theft,04/27/17 1549,NA,04/27/17 1549,1220 Walton Drive,Open
17-000536,Theft,04/28/17 1205,NA,04/28/17 1205,King Pavilion,Unfounded
17-000535,Theft,04/28/17 1222,NA,04/28/17 1222,Lot 63,Open
17-000539,Theft,04/28/17 1853,NA,04/28/17 1853,Parks Library,Open
17-000540,Theft,04/28/17 1919,NA,04/28/17 1919,Lot 62,Open
17-000543,Operating while Intoxicated,04/29/17 0132,04/29/17 0132,04/29/17 0132,Lot 2,Arrest
17-000544,Operating while Intoxicated,04/29/17 0248,04/29/17 0248,04/29/17 0248,Hyland Avenue and West Street,Arrest
17-000545,Drug Violation,04/29/17 1918,04/29/17 1918,05/04/17 1133,4200 Maricopa Drive,Arrest
17-000546,Vandalism,04/29/17 2236,NA,04/29/17 2236,Linden Hall,Open
17-000547,Operating while Intoxicated,04/30/17 0147,04/30/17 0147,04/30/17 0147,South Dakota Avenue and Todd Drive,Arrest
17-000548,Operating while Intoxicated,04/30/17 0315,04/30/17 0315,04/30/17 0315,Hunt Street and Welch Avenue,Arrest
17-000549,Vandalism,05/01/17 0712,04/28/17 0700,05/01/17 0712,Carver Hall,Open
17-000550,Theft,05/01/17 1057,05/01/17 1057,05/01/17 1057,State Gymnasium,Open
17-000551,Drug Violation,05/01/17 1818,05/01/17 1818,05/01/17 1818,Geoffroy Hall,Arrest
17-000552,Driving Violation,05/01/17 2259,05/01/17 2259,05/01/17 2259,Pammel Drive and Stange Road,Arrest
17-000556,Theft,05/03/17 0906,05/03/17 0906,05/03/17 0906,Science II,Open
17-000557,Theft of a Motor Vehicle,05/03/17 1254,05/02/17 2230,05/03/17 1200,1344 Walton Drive,Open
17-000558,Criminal Trespass,05/03/17 1447,05/03/17 1447,05/03/17 1447,Durham Center,Open
17-000560,Theft,05/03/17 1735,05/02/17 2100,05/03/17 1200,31 Frederiksen Court,Open
17-000561,Public Intoxication,05/04/17 0114,05/04/17 0114,05/04/17 0114,119 Stanton Avenue,Arrest
17-000563,Vandalism,05/04/17 0212,05/04/17 0212,05/04/17 0212,Wilson Hall,Open
17-000564,Theft,05/04/17 1325,04/16/17 1900,05/04/17 1325,Lot S6,Open
17-000566,Public Intoxication,05/04/17 1820,05/04/17 1820,05/04/17 1820,Knapp Street and Welch Avenue,Arrest
17-000567,Disorderly Conduct,05/04/17 1953,05/04/17 1953,05/04/17 1953,Lied Recreation Center,Open
17-000568,Public Intoxication,05/05/17 0124,05/05/17 0124,05/05/17 0124,124 Hyland Avenue,Arrest
17-000569,Public Intoxication,05/05/17 0304,05/05/17 0304,05/05/17 0304,Wallace Hall,Arrest
17-000570,Vandalism,05/05/17 0348,05/05/17 0348,05/05/17 0348,Lot 112A,Open
17-000571,Vandalism,05/05/17 0609,05/05/17 0609,05/05/17 0609,Music Hall,Open
17-000572,Theft,05/05/17 0843,04/25/17 2100,05/04/17 1300,61 Frederiksen Court,Open
17-000573,Vandalism,05/05/17 0955,05/04/17 1300,05/05/17 0950,Lot 61A,Open
17-000575,Vandalism/Disorderly Conduct/Criminal Trespass,05/05/17 1436,05/05/17 1436,05/05/17 1436,Gerdin Business Building,Arrest
17-000579,Theft,05/07/17 1120,10/10/16 0000,05/07/17 1120,Wallace Hall,Open
17-000584,Theft,05/10/17 1002,05/09/17 1640,05/09/17 1645,2229 Lincoln Way,Open
17-000585,Public Intoxication,05/11/17 0124,05/11/17 0124,05/11/17 0124,Hyland Avenue and West Street,Arrest
17-000587,Public Intoxication / Interference / False Identification,05/11/17 0314,05/11/17 0314,05/11/17 0314,Armory Building,Arrest
17-000592,Public Intoxication,05/12/17 0135,05/12/17 0135,05/12/17 0135,Ames Intermodel Facility,Arrest
17-000591,Operating while Intoxicated,05/12/17 0148,05/12/17 0148,05/12/17 0148,Hayward Avenue and Hunt Street,Arrest
17-000593,Operating while Intoxicated,05/13/17 0152,05/13/17 0152,05/13/17 0152,Hayward Avenue and Mortensen Road,Arrest
17-000595,Burglary,05/13/17 0441,NA,05/13/17 0441,35 Frederiksen Court,Open
17-000596,Operating while Intoxicated,05/13/17 1850,05/13/17 1850,05/13/17 1850,Lot 52,Arrest
17-000600,Theft,05/15/17 1604,05/15/17 1326,05/15/17 1604,Memorial Union Parking Ramp,Open
17-000602,Theft,05/16/17 1746,05/16/17 1746,05/16/17 1746,Ames Intermodel Facility,Open
17-000603,Driving Violation,05/16/17 1945,05/16/17 1945,05/16/17 1945,Lincoln Way and Union Drive,Arrest
17-000604,Harassment,05/17/17 0831,05/17/17 0831,05/17/17 0831,Armory Building,Open
17-000605,Theft,05/17/17 1106,05/17/17 0950,05/17/17 1050,Ross Hall,Open
17-000607,Domestic Dispute / Drug Violation / Interference,05/17/17 2246,05/17/17 2246,05/17/17 2246,12 Schilletter Village,Arrest
17-000608,Disorderly Conduct,05/18/17 0211,05/18/17 0211,05/18/17 0211,2401 Chamberlain Street,Open
N/A,Sexual Assault,05/19/17 0000,NA,NA,University West Apartment,Info only
17-000609,Operating while Intoxicated,05/19/17 0100,05/19/17 0100,05/19/17 0100,Mortensen Road and Pinon Drive,Arrest
17-000610,Theft,05/19/17 1713,05/18/17 1600,05/18/17 1600,Armory Building,Open
17-000611,Operating while Intoxicated,05/20/17 0232,05/20/17 0232,05/20/17 0232,Hayward Avenue and Hunt Street,Arrest
17-000612,Motor Vehicle Theft,05/20/17 0939,05/20/17 0939,05/20/17 0939,162 University Village,Closed
17-000613,Operating while Intoxicated,05/21/17 0131,05/21/17 0131,05/21/17 0131,4900 block of Mortensen Road,Arrest
17-000614,Operating while Intoxicated,05/21/17 0349,05/21/17 0349,05/21/17 0349,Hyland Avenue and Lincoln Way,Arrest
17-000615,Alcohol Violation,05/21/17 0621,05/21/17 0621,05/21/17 0621,North Hazel Avenue and Lincoln Way,Arrest
17-000617,Driving Violation,05/22/17 2301,05/22/17 2301,05/22/17 2301,2768 Pammel Drive,Arrest
17-000618,Driving Violation,05/23/17 0048,05/23/17 0048,05/23/17 0048,Lincoln Way and Lynn Avenue,Arrest
17-000622,Theft,05/25/17 0936,05/23/17 0830,05/25/17 0915,Elings Hall,Open
17-00623,Theft,05/25/17 1403,NA,05/25/17 1403,Lagomarcino Hall,Open
17-000623,Theft,05/25/17 1403,05/11/17 1800,05/12/17 1800,Lagomarcino Hall,Open
17-000624,Drug Violation,05/26/17 0341,05/26/17 0341,05/26/17 0341,636 Lincoln Way,Arrest
17-000625,Vandalism,05/26/17 1042,05/26/17 1042,05/26/17 1042,Lot S5,Arrest
17-000626,Public Intoxication,05/26/17 2251,05/26/17 2251,05/26/17 2251,Bissell Road and Union Drive,Arrest
17-000627,Public Intoxication,05/27/17 0111,05/27/17 0111,05/27/17 0111,Lincoln Way and Stanton Avenue,Arrest
17-000629,Operating while Intoxicated,05/28/17 0030,05/28/17 0030,05/28/17 0030,Lincoln Way and South Dakota Avenue,Arrest
17-000630,Public Intoxication Unlawful Use of License,05/28/17 0142,05/28/17 0142,05/28/17 0142,Bissell Road and Union Drive,Arrest
17-000631,Operating while Intoxicated,05/28/17 0312,05/28/17 0312,05/28/17 0312,Coral Drive and South Grand Avenue,Arrest
17-000632,Public Intoxication,05/29/17 0552,05/29/17 0552,05/29/17 0552,Carver Hall,Arrest
17-000633,Theft,05/29/17 1351,05/01/17 1300,05/29/17 1330,45 Schilletter Village,Open
17-000634,Driving Violation,05/30/17 0025,05/30/17 0025,05/30/17 0025,Pammel Drive and WOI Road,Arrest
17-000636,Motor Vehicle Theft,05/30/17 1346,05/21/17 2300,05/30/17 0815,Agronomy Hall,Recovered
17-000638,Harassment,05/31/17 1521,05/31/17 1521,05/31/17 1521,ISU Dairy Farm,Open
17-000640,Theft,05/31/17 1801,05/25/17 1740,05/27/17 1500,State Gymnasium,Open
17-000641,Driving Violation / Drug Violation,05/31/17 2033,05/31/17 2033,05/31/17 2033,Hyland Avenue and Lincoln Way,Arrest
17-000462,Theft,06/01/17 1417,NA,06/01/17 1417,Armory Building,Open
17-000642,Theft,06/01/17 1417,NA,06/01/17 1417,Armory Building,Open
17-000643,Theft,06/02/17 0653,NA,06/02/17 0653,Armory Building,Open
17-000644,Theft,06/02/17 1041,NA,06/02/17 1041,Applied Sciences Complex 2,Open
17-000644,Burglary,06/02/17 1041,NA,06/02/17 1041,Applied Sciences Complex 2,Open
17-000645,Operating while Intoxicated,06/03/17 0110,06/03/17 0110,06/03/17 0110,Lincoln Way and Welch Avenue,Arrest
17-000646,Public Intoxication,06/03/17 0142,06/03/17 0142,06/03/17 0142,Lincoln Way and Welch Avenue,Arrest
17-000647,Operating while Intoxicated,06/03/17 0223,06/03/17 0223,06/03/17 0223,Dotson Drive and Tripp Street,Arrest
17-000651,Theft,06/05/17 1505,NA,06/05/17 1505,State Gymnasium,Open
17-000652,Vandalism,06/05/17 1711,NA,06/05/17 1711,Lot 112C,Open
17-000654,Theft,06/05/17 1740,NA,06/05/17 1740,4120 Maricopa Drive,Open
17-000655,Drug Violation,06/06/17 0057,06/06/17 0057,06/06/17 0057,South Dakota Avenue and US Highway 30,Arrest
17-000656,Drug Violation,06/06/17 1200,06/06/17 1200,06/06/17 1200,Armory Building,Open
17-000657,Driving Violation,06/07/17 0101,06/07/17 0101,06/07/17 0101,Lincoln Way and South Riverside Drive,Arrest
17-000660,Drug Violation,06/09/17 1954,06/09/17 1954,06/09/17 1954,Geoffroy Hall,Open
17-000662,Driving Violation,06/11/17 0100,06/11/17 0100,06/11/17 0100,Northridge Parkway and Stange Road,Arrest
17-000686,Alcohol Violation,06/11/17 0323,06/11/17 0323,06/11/17 0323,Edenburn Drive and Long Road,Arrest
17-000665,Drug Violation/Weapon Violation / Theft / Driving Violation,06/12/17 0332,06/12/17 0332,06/12/17 0332,Hilltop Road and Tripp Street,Arrest
17-000666,Theft,06/12/17 1602,NA,06/12/17 1602,Sweeney Hall,Open
17-000667,Driving Violation,06/12/17 1714,06/12/17 1714,06/12/17 1714,South 4th Street and University Boulevard,Arrest
17-000669,Theft,06/12/17 2114,NA,06/13/17 0000,Enrollment Services Center,Recovered
17-000668,Drug Violation,06/12/17 2115,06/12/17 2115,06/12/17 2115,Stange Road and Wanda Daley Drive,Arrest
17-000672,Domestic Assault,06/13/17 2207,06/13/17 2207,06/13/17 2207,4008 Maricopa Drive,Arrest
17-000673,Drug Violation,06/14/17 1913,06/14/17 1913,06/14/17 1913,North University Boulevard and Wallace Road,Arrest
17-000674,Operating while Intoxicated / Drug Violation,06/15/17 0214,06/15/17 0214,06/15/17 0214,2389 13th Street,Arrest
17-000675,Driving Violation,06/15/17 1451,06/15/17 1451,06/15/17 1451,Lincoln Way and Sheldon Avenue,Arrest
17-000676,Driving Violation,06/17/17 0000,06/17/17 0000,06/17/17 0000,Hyland Avenue and Oakland Street,Arrest
17-000677,Driving Violation,06/17/17 0221,06/17/17 0221,06/17/17 0221,Dotson Drive and Mortensen Road,Arrest
17-000678,Theft,06/17/17 0944,06/17/17 0000,08/21/17 1101,State Gymnasium,Unfounded
17-000679,Fraud,06/17/17 1342,06/17/17 0000,06/17/17 1342,Memorial Union,Open+
17-000681,Theft,06/19/17 0913,NA,06/19/17 0913,Ames Intermodel Facility,Open
17-000683,Drug Violation,06/21/17 2147,06/21/17 2147,06/21/17 2147,Armory Building,Open
17-000684,Drug Violation,06/21/17 2148,06/21/47 2148,06/21/17 2148,Armory Building,Open
17-000685,Public Intoxication,06/22/17 0141,06/22/17 0141,06/22/17 0141,Chamberlain Street and Welch Avenue,Arrest
17-000689,Theft,06/22/17 2104,NA,06/22/17 2104,Armory Building,Open
17-000690,Driving Violation,06/23/17 0023,06/23/17 0023,06/23/17 0023,Lincoln Way and Welch Avenue,Arrest
17-000692,Operating While Intoxicated,06/24/17 0231,06/24/17 0231,06/24/17 0231,Hayward Avenue and Mortensen Road,Arrest
17-000693,Public Intoxication,06/25/17 0155,06/25/17 0155,06/25/17 0155,500 block of Hayward Avenue,Arrest
17-000695,Operating While Intoxicated,06/25/17 0255,06/25/17 0255,06/25/17 0255,Mortensen Road and State Avenue,Arrest
17-000694,Operating While Intoxicated / Unlawful use of License,06/25/17 0300,06/25/17 0300,06/25/17 0300,100 block of Stanton Avenue,Arrest
17-000699,Sexual Assault,06/27/17 0000,06/21/17 1130,06/27/17 0000,Near Lake LaVerne,Unfounded
17-000701,Public Intoxication / Unlawful Use of License,06/29/17 0130,06/29/17 0130,06/29/17 0130,223 Welch Avenue,Arrest
17-000704,Theft,06/29/17 1727,NA,06/29/17 1727,Lot 93,Open
17-000705,Alcohol Violation,07/01/17 2310,07/01/17 2310,07/01/17 2310,119 Stanton Avenue,Arrest
17-000706,Criminal Trespass,07/02/17 0108,07/02/17 0108,07/02/17 0108,119 Stanton Avenue,Closed
17-000708,Public Intoxication,07/03/17 0230,07/03/17 0230,07/03/17 0230,Mortensen Road and State Avenue,Arrest
17-000710,Operating While Intoxicated,07/04/17 0240,07/04/17 0240,07/04/17 0240,South 16th Street and Christensen Drive,Arrest
17-000711,Theft,07/05/17 1121,NA,07/05/17 1121,Armory Building,Open
17-000712,Driving Violation,07/07/17 0148,07/07/17 0148,07/07/17 0148,Lincoln Way and South Riverside Drive,Arrest
17-000713,Theft,07/07/17 1112,NA,07/07/17 1112,Helser Hall,Open
17-000714,Theft,07/07/17 1125,NA,07/07/17 1125,Armory Building,Unfounded
17-000716,Driving Violation,07/08/17 0300,07/08/17 0300,07/08/17 0300,227 Sheldon Avenue,Arrest
17-000717,Public Intoxication,07/08/17 1827,07/08/17 1827,07/08/17 1827,Ames Intermodel Facility,Arrest
17-000718,Harassment,07/08/17 2118,NA,07/08/17 2118,Armory Building,Open
17-000719,Disorderly Conduct / Public Intoxication,07/09/17 0123,07/09/17 0123,07/09/17 0123,Lincoln Way and Union Drive,Arrest
17-000723,Contempt of Court,07/10/17 1117,07/10/17 1117,07/10/17 1117,1215 Scholl Road,Arrest
17-000724,Harassment,07/10/17 1246,07/10/17 1246,07/10/17 1246,Parks Library,Open
17-000725,Drug Violation / Alcohol Violation,07/12/17 0205,07/12/17 0205,07/12/17 0205,Grand Avenue and Lincoln Way,Arrest
17-000726,Drug Violation,07/12/17 0923,07/12/17 0923,07/12/17 0923,Armory Building,Open
17-000727,Drug Violation,07/12/17 0942,07/12/17 0942,07/12/17 0942,Armory Building,Open
17-000728,Operating while Intoxicated / Drug Violation,07/13/17 0216,07/13/17 0216,07/13/17 0216,Lincoln Way and State Avenue,Arrest
17-000729,Theft,07/13/17 0946,07/13/17 0946,07/13/17 0946,1150 Lincoln Way,Open
17-000731,Public Intoxication,07/14/17 0252,07/14/17 0252,07/14/17 0252,Friley Hall,Arrest
17-000733,Drug Violation,07/14/17 1506,07/14/17 1506,07/14/17 1506,Armory Building,Open
17-000734,Operating while Intoxicated,07/15/17 0157,07/15/17 0157,07/15/17 0157,Lincoln Way and Sheldon Avenue,Arrest
17-000736,Operating while Intoxicated,07/16/17 0257,07/16/17 0257,07/16/17 0257,100 block of Franklin Avenue,Arrest
17-000735,Vandalism,07/16/17 0311,07/16/17 0311,07/16/17 0311,Lot 59D,Open
17-000737,Harassment,07/17/17 0816,07/17/17 0816,07/17/17 0816,Armory Building,Open
17-000738,Theft,07/17/17 1220,07/17/17 1220,07/17/17 1220,Elings Hall,Open
17-000740,Theft,07/17/17 2100,07/17/17 2100,07/17/17 2100,112 University Village,Open
17-000741,Driving Violation / Interference / False Information,07/18/17 0135,07/18/17 0135,07/18/17 0135,Hyland Avenue and Lincoln Way,Arrest
17-000742,Theft,07/18/17 0803,07/18/17 0803,07/18/17 0803,2566 Pammel Drive,Open
17-000743,Drug Violation,07/18/17 1440,07/18/17 1440,07/18/17 1440,Armory Building,Open
17-000744,Theft,07/18/17 1504,07/18/17 1504,07/18/17 1504,Wilson Hall,Open
