date,time,icon,wind,temp_low,temp_high,weather
2017-04-07,6 am,2,3,34,52,Passing clouds.
2017-04-07,12 pm,2,10,55,63,Passing clouds.
2017-04-07,6 pm,14,10,48,59,Passing clouds.
2017-04-08,12 am,14,12,48,50,Passing clouds.
2017-04-08,6 am,2,15,48,72,Passing clouds.
2017-04-08,12 pm,6,19,72,75,Partly sunny.
2017-04-08,6 pm,17,9,64,73,Overcast.
2017-04-09,12 am,17,10,61,64,Overcast.
2017-04-09,6 am,6,14,61,73,Partly sunny.
2017-04-09,12 pm,6,18,73,81,Partly sunny.
2017-04-09,6 pm,14,15,68,77,Passing clouds.
2017-04-10,12 am,22,12,52,72,Thunderstorms. Mostly cloudy.
2017-04-10,6 am,6,7,50,63,Partly sunny.
2017-04-10,12 pm,6,16,55,63,Partly sunny.
2017-04-10,6 pm,17,19,43,52,Overcast.
2017-04-11,12 am,17,12,39,43,Overcast.
2017-04-11,6 am,7,11,39,50,Overcast.
2017-04-11,12 pm,2,10,54,63,Passing clouds.
2017-04-11,6 pm,13,6,52,61,Clear.
2017-04-12,12 am,14,7,45,48,Passing clouds.
2017-04-12,6 am,6,9,46,66,Partly sunny.
2017-04-12,12 pm,6,9,70,72,Partly sunny.
2017-04-12,6 pm,17,9,64,68,Overcast.
2017-04-13,12 am,14,8,55,61,Passing clouds.
2017-04-13,6 am,2,7,57,70,Passing clouds.
2017-04-13,12 pm,2,9,72,77,Passing clouds.
2017-04-13,6 pm,17,12,63,75,Overcast.
2017-04-14,12 am,17,9,55,61,Overcast.
2017-04-14,6 am,9,9,55,64,Fog.
2017-04-14,12 pm,6,12,64,72,Partly sunny.
2017-04-14,6 pm,17,11,68,70,Overcast.
2017-04-15,12 am,14,13,64,70,Passing clouds.
2017-04-15,6 am,6,15,64,70,Partly sunny.
2017-04-15,12 pm,6,12,72,79,Partly sunny.
2017-04-15,6 pm,22,7,64,75,Thunderstorms. Mostly cloudy.
2017-04-16,12 am,14,9,54,63,Passing clouds.
2017-04-16,6 am,6,9,54,66,Partly sunny.
2017-04-16,12 pm,6,10,70,72,Partly sunny.
2017-04-16,6 pm,14,3,55,70,Passing clouds.
2017-04-17,12 am,14,2,50,55,Passing clouds.
2017-04-17,6 am,2,4,50,70,Passing clouds.
2017-04-17,12 pm,2,6,68,72,Passing clouds.
2017-04-17,6 pm,14,7,63,72,Passing clouds.
2017-04-18,12 am,14,10,55,59,Passing clouds.
2017-04-18,6 am,6,12,55,61,Partly sunny.
2017-04-18,12 pm,6,16,66,73,Partly sunny.
2017-04-18,6 pm,17,4,64,70,Overcast.
2017-04-19,12 am,17,10,54,63,Overcast.
2017-04-19,6 am,6,9,52,55,Partly sunny.
2017-04-19,12 pm,2,12,57,75,Passing clouds.
2017-04-19,6 pm,6,17,70,81,Partly sunny.
2017-04-20,12 am,17,17,50,66,Overcast.
2017-04-20,6 am,7,20,50,55,Overcast.
2017-04-20,12 pm,7,21,54,57,Overcast.
2017-04-20,6 pm,14,11,46,54,Passing clouds.
2017-04-21,12 am,14,4,41,46,Passing clouds.
2017-04-21,6 am,2,12,43,57,Passing clouds.
2017-04-21,12 pm,7,16,59,61,Overcast.
2017-04-21,6 pm,17,11,54,57,Overcast.
2017-04-22,12 am,14,6,45,52,Passing clouds.
